idEntree,type,ascenseur,escalierNbMarche,escalierMainCourante,reperageEltsVitres,largeurPassage,eclairage,typePorte,espaceManoeuvre,largManoeuvreExt,longManoeuvreExt,largManoeuvreInt,longManoeuvreInt,typePoignee
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.76,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.86,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.86,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.76,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.76,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.86,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.76,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.86,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.86,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.86,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.81,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,1.25,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,1.25,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,0.81,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait,Non extrait
